"","rab.all","rab.win.0","rab.win.1","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"PHOSPHO2-KLHL23",-16.4823185718358,-15.8860013719243,-17.1795813261923,-1.14437940287886,3.5060504012767,-0.279623045902595,0.344000001024138,0.135575469535657,0.152566398611899,0.076463812897961,0.0873682663467499
"PHPT1",-5.11415164656557,-4.88616911863428,-5.94896076654842,-0.941584193790746,0.977555077696055,-0.893599742348024,0.193281794434931,3.57483587159779e-06,5.45979291523613e-06,2.15603288652231e-05,3.09979906125236e-05
"PHRF1",-5.64937963012648,-5.11657272174066,-6.39200613513502,-1.18571133009452,0.87036908700914,-1.25105004558835,0.100239942579972,1.61484697206654e-09,3.4250157912279e-09,4.6590601438674e-09,8.7363895338828e-09
"PHTF1",-6.88602228456061,-6.26073805059821,-7.99980051763564,-1.7381464676031,0.95459631579595,-1.71621196705753,0.0352000202759595,5.49900450635693e-13,2.91988960264485e-12,8.59872318951449e-13,3.10626302855968e-12
"PHTF2",-6.65913518994592,-6.18455529047896,-7.5065416100339,-1.22675476576816,1.18603552198006,-0.978774142503595,0.141029063305321,1.34250373701302e-07,2.28195502545742e-07,3.06014497823793e-07,4.93968941780847e-07
"PHYH",-4.9951159429119,-3.40542858237542,-6.69377487367801,-3.06635469910129,1.54258330611513,-1.97391777999261,0.0194615142257775,1.33732465171369e-16,3.62914806665902e-15,2.12315806370388e-14,1.43614811428146e-13
"PHYHD1",-6.25385658293255,-5.1164423681837,-9.91234484894879,-4.89130185056268,1.63273626979762,-2.63528918970003,0.00320023067661052,1.9880488840132e-15,3.06564037276818e-14,1.66744766176547e-16,5.22460736469222e-15
"PHYHIP",-11.1176133743132,-7.78600612975454,-12.3180689570796,-3.91053832447545,2.10107420305276,-1.5394665996331,0.0880000076052899,8.58478882289796e-11,2.26359608632603e-10,2.00733987426152e-09,3.85183078685296e-09
"PHYHIPL",-6.03245907048648,-5.55485691940206,-8.01432553567313,-2.55956390492466,1.80406901110261,-1.34745059966521,0.0477333480737558,5.65642660614666e-06,8.27173185182531e-06,8.38988534750637e-12,2.36733713704851e-11
"PI15",-11.8355117927076,-10.9100399871032,-12.1590517068641,-1.3552721503764,3.58677332837107,-0.356708971563738,0.335910424976133,0.0186330240229377,0.0227854303252415,0.026817425218807,0.0322168964959959
